date,open,close,high,low,volume,symbol
2021-04-25,50101.42,49121.0,50591.38,47044.01,14633.51206544,BTC/USD
2021-04-24,51187.75,50089.15,51260.61,48726.87,11839.14355893,BTC/USD
2021-04-23,51695.98,51187.27,52130.58,47464.65,38794.85818376,BTC/USD
2021-04-22,53795.62,51701.59,55469.98,50400.0,30427.89153907,BTC/USD
2021-04-21,56477.67,53800.86,56810.56,53620.91,15584.08398293,BTC/USD
2021-04-20,55696.83,56499.29,57111.0,53430.01,18608.27983583,BTC/USD
2021-04-19,56273.65,55696.83,57600.0,54187.85,16838.39171629,BTC/USD
2021-04-18,60067.2,56274.41,60437.97,51300.0,36891.70959047,BTC/USD
2021-04-17,61427.27,60058.86,62572.48,59700.0,10847.76785762,BTC/USD
2021-04-16,63229.04,61427.27,63604.34,60048.43,19867.41322269,BTC/USD
2021-04-15,62971.8,63229.04,63831.82,62036.73,11209.4505281,BTC/USD
2021-04-14,63588.22,62971.8,64899.0,61277.91,22570.84113444,BTC/USD
2021-04-13,59836.88,63588.22,63774.39,59799.01,17897.76603088,BTC/USD
2021-04-12,59983.66,59839.82,61199.0,59369.0,11467.72752999,BTC/USD
2021-04-11,59778.59,59985.26,60658.89,59177.06,7278.96516665,BTC/USD
2021-04-10,58092.68,59778.6,61218.97,57875.41,12817.81106734,BTC/USD
2021-04-09,58083.1,58092.68,58869.69,57670.51,8094.74629652,BTC/USD
2021-04-08,55962.67,58083.1,58152.0,55700.0,8073.59731731,BTC/USD
2021-04-07,58021.67,55955.75,58630.0,55400.0,17787.29445084,BTC/USD
2021-04-06,59134.07,58019.98,59475.0,57333.33,10354.33014603,BTC/USD
2021-04-05,58216.73,59123.02,59251.76,56817.64,9204.86323941,BTC/USD
2021-04-04,57094.34,58215.94,58500.0,56478.53,6301.43187883,BTC/USD
2021-04-03,58981.04,57094.34,59752.0,56943.0,8405.26400491,BTC/USD
2021-04-02,58726.47,58981.04,60055.02,58441.88,10966.93017846,BTC/USD
2021-04-01,58800.01,58726.48,59474.94,57930.0,11096.33004907,BTC/USD
2021-03-31,58786.46,58800.0,59800.0,56873.8,17376.62672814,BTC/USD
2021-03-30,57613.76,58786.46,59397.48,57000.0,15105.07669026,BTC/USD
2021-03-29,55781.22,57613.48,58400.0,54900.0,17552.36885101,BTC/USD
2021-03-28,55856.54,55778.82,56587.08,54701.0,9235.80302347,BTC/USD
2021-03-27,55080.9,55856.53,56640.0,53966.0,11333.33349523,BTC/USD
2021-03-26,51320.76,55072.44,55125.13,51250.0,17843.00738205,BTC/USD
2021-03-25,52259.69,51325.01,53238.0,50305.0,29642.04415588,BTC/USD
2021-03-24,54333.27,52276.16,57209.97,51673.82,23775.21362623,BTC/USD
2021-03-23,54111.49,54345.54,55858.0,53000.0,19221.75674,BTC/USD
2021-03-22,57377.29,54110.07,58421.68,53739.5,19512.15647151,BTC/USD
2021-03-21,58126.34,57363.32,58651.22,55543.89,11841.63877891,BTC/USD
2021-03-20,58026.91,58116.7,59928.0,57827.97,9725.28123717,BTC/USD
2021-03-19,57644.95,58039.66,59461.99,56260.0,16429.629743,BTC/USD
2021-03-18,58925.54,57644.95,60100.0,56996.15,21459.4962399,BTC/USD
2021-03-17,56924.26,58925.54,58996.38,54138.01,22687.57433043,BTC/USD
2021-03-16,55629.08,56927.11,56970.0,53221.0,24432.37878722,BTC/USD
2021-03-15,58972.71,55636.15,60601.07,54568.0,31651.39184131,BTC/USD
2021-03-14,61181.38,58972.7,61680.0,58950.0,13581.96759058,BTC/USD
2021-03-13,57220.84,61178.5,61788.45,56083.74,22301.28588901,BTC/USD
2021-03-12,57820.15,57225.91,58065.92,55050.0,21760.53824103,BTC/USD
2021-03-11,55888.7,57815.47,58113.0,54283.0,24369.21216789,BTC/USD
2021-03-10,54921.61,55890.69,57402.14,53025.0,28326.07770941,BTC/USD
2021-03-09,52413.17,54916.38,54936.0,51845.01,21177.14953983,BTC/USD
2021-03-08,50976.22,52415.23,52425.0,49328.62,18856.28684439,BTC/USD
2021-03-07,48909.84,50978.61,51459.0,48909.83,13965.15473114,BTC/USD
2021-03-06,48766.01,48909.84,49210.0,47077.0,11877.83755909,BTC/USD
2021-03-05,48370.97,48769.47,49473.99,46219.32,25468.18029576,BTC/USD
2021-03-04,50370.33,48368.52,51798.33,47502.0,23386.97957577,BTC/USD
2021-03-03,48502.18,50360.0,52666.0,48161.75,21301.47723933,BTC/USD
2021-03-02,49635.3,48511.6,50250.0,47075.11,17063.56302004,BTC/USD
2021-03-01,45231.74,49639.4,49829.0,45042.13,25068.25043716,BTC/USD
2021-02-28,46169.92,45231.75,46656.0,43016.0,22745.60600179,BTC/USD
2021-02-27,46319.79,46180.75,48356.86,45055.0,16290.28071728,BTC/USD
2021-02-26,47063.9,46326.2,48464.64,44150.0,36048.6181927,BTC/USD
2021-02-25,49737.81,47058.48,52107.83,46700.0,28011.20414657,BTC/USD
2021-02-24,48899.99,49737.82,51415.41,47002.0,30732.14949499,BTC/USD
2021-02-23,54125.67,48899.99,54206.22,44888.08,72300.585728,BTC/USD
2021-02-22,57489.16,54142.13,57577.69,46616.0,49449.16575779,BTC/USD
2021-02-21,55921.44,57489.16,58367.0,55531.23,13530.43444443,BTC/USD
2021-02-20,55983.57,55923.52,57563.57,54000.1,22137.82194494,BTC/USD
2021-02-19,51596.0,55983.56,56370.05,50725.0,27961.48197104,BTC/USD
2021-02-18,52170.01,51601.73,52549.99,50875.0,15689.40275173,BTC/USD
2021-02-17,49141.43,52170.01,52640.35,48942.87,25675.171441,BTC/USD
2021-02-16,47935.66,49158.71,50645.0,47051.22,23053.20561135,BTC/USD
2021-02-15,48667.23,47936.37,49093.44,45768.46,19432.15278111,BTC/USD
2021-02-14,47240.75,48680.69,49700.0,47100.13,15146.55244091,BTC/USD
2021-02-13,47408.34,47232.45,48199.0,46300.0,12020.8773325,BTC/USD
2021-02-12,47993.6,47408.34,48912.0,46300.0,23503.15583529,BTC/USD
2021-02-11,44850.0,47997.91,48690.0,44011.0,26222.60477552,BTC/USD
2021-02-10,46514.73,44850.0,47349.99,43706.86,25818.01157857,BTC/USD
2021-02-09,46453.66,46514.73,48200.0,45020.0,36418.79365116,BTC/USD
2021-02-08,38871.43,46448.1,46750.0,38057.01,47934.0103883,BTC/USD
2021-02-07,39266.1,38871.42,39737.83,37371.35,20297.87256102,BTC/USD
2021-12-03,4514.54,4521.31,4662.75,4473.59,74612.80397656,ETH/USD
2021-12-02,4586.87,4514.59,4637.39,4435.0,171913.60834148,ETH/USD
2021-12-01,4636.43,4586.95,4784.5,4526.94,241301.695591,ETH/USD
2021-11-30,4449.42,4634.95,4759.0,4350.91,312105.05293146,ETH/USD
2021-11-29,4298.38,4449.42,4466.0,4282.07,170935.20731881,ETH/USD
2021-11-28,4098.53,4298.38,4303.35,3950.0,124752.71262005,ETH/USD
2021-11-27,4043.62,4098.31,4186.97,4031.56,93299.56271946,ETH/USD
2021-11-26,4527.03,4043.67,4555.53,3915.0,324817.57682312,ETH/USD
2021-11-25,4270.93,4525.87,4555.11,4250.0,132338.28173546,ETH/USD
2021-11-24,4341.58,4270.74,4359.88,4168.99,120268.67729032,ETH/USD
2021-11-23,4089.17,4341.62,4389.95,4062.28,159935.23797902,ETH/USD
2021-11-22,4263.04,4089.16,4322.86,4024.45,174572.98932477,ETH/USD
2021-11-21,4416.36,4262.99,4427.72,4246.07,83775.31676078,ETH/USD
2021-11-20,4299.55,4416.69,4438.96,4206.03,96882.12097892,ETH/USD
2021-11-19,3998.57,4299.55,4314.82,3975.24,191232.56135587,ETH/USD
2021-11-18,4289.4,3997.93,4346.42,3960.0,291477.64786245,ETH/USD
2021-11-17,4209.89,4289.4,4300.01,4068.24,197969.47328462,ETH/USD
2021-11-16,4564.34,4209.5,4564.98,4108.0,309826.45957038,ETH/USD
2021-11-15,4626.61,4565.06,4770.0,4541.0,121693.76091856,ETH/USD
2021-11-14,4644.43,4627.03,4695.07,4516.05,96933.07064437,ETH/USD
2021-11-13,4667.79,4644.44,4708.6,4586.8,76568.33646209,ETH/USD
2021-11-12,4721.07,4667.34,4809.27,4508.42,160383.45748095,ETH/USD
2021-11-11,4632.23,4721.87,4783.05,4578.05,112248.30258781,ETH/USD
2021-11-10,4731.58,4632.22,4867.81,4460.0,249949.62441734,ETH/USD
2021-11-09,4811.89,4731.59,4842.54,4697.9,154525.60456333,ETH/USD
2021-11-08,4617.27,4811.9,4825.0,4616.5,163884.29350308,ETH/USD
2021-11-07,4523.73,4617.02,4639.8,4506.99,85312.85613745,ETH/USD
2021-11-06,4479.47,4523.16,4534.43,4329.21,107961.55343832,ETH/USD
2021-11-05,4537.14,4479.47,4574.0,4446.01,142403.14739608,ETH/USD
2021-11-04,4606.07,4537.15,4610.24,4423.01,182872.96131449,ETH/USD
2021-11-03,4594.27,4606.07,4671.0,4456.0,213935.75674438,ETH/USD
2021-11-02,4322.89,4595.01,4604.99,4287.32,217839.79309642,ETH/USD
2021-11-01,4290.31,4322.89,4385.16,4151.0,165298.66872401,ETH/USD
2021-10-31,4325.55,4290.16,4395.99,4168.1,148206.08981334,ETH/USD
2021-10-30,4421.23,4324.67,4435.0,4236.99,123410.59442713,ETH/USD
2021-10-29,4288.25,4421.23,4461.96,4266.91,257148.94601167,ETH/USD
2021-10-28,3925.26,4288.26,4299.0,3889.05,257149.82955488,ETH/USD
2021-10-27,4132.19,3923.94,4314.63,3911.0,279555.38152718,ETH/USD
2021-10-26,4221.16,4131.47,4297.0,4091.31,169619.87486465,ETH/USD
